"duplicate_id","author","year","journal","doi","title","abstract","label","source","pages","volume","number","isbn","record_ids"
"sr3_nk_10004","Takahashi P.Y.","2016","American Journal of Managed Care",NA,"Enhanced risk prediction model for emergency department use and hospitalizations in patients in a primary care medical home","Objectives: With the advent of healthcare payment reform, identifying high-risk populations has become more important to providers. Existing risk-prediction models often focus on chronic conditions. This study sought to better understand other factors to improve identification of the highest risk population. Study Design: A retrospective cohort study of a paneled primary care population utilizing 2010 data to calibrate a risk prediction model of hospital and emergency department (ED) use in 2011. Method(s): Data were randomly split into development and validation data sets. We compared the enhanced model containing the additional risk predictors with the Minnesota medical tiering model. The study was conducted in the primary care practice of an integrated delivery system at an academic medical center in Rochester, Minnesota. The study focus was primary care medical home patients in 2010 and 2011 (n = 84,752), with the primary outcome of subsequent hospitalization or ED visit. A total of 42,384 individuals derived the enhanced risk-prediction model and 42,368 individuals validated the model. Predictors included Adjusted Clinical Groups-based Minnesota medical tiering, patient demographics, insurance status, and prior year healthcare utilization. Additional variables included specific mental and medical conditions, use of high-risk medications, and body mass index. Result(s): The area under the curve in the enhanced model was 0.705 (95% CI, 0.698-0.712) compared with 0.662 (95% CI, 0.656-0.669) in the Minnesota medical tiering-only model. New high-risk patients in the enhanced model were more likely to have lack of health insurance, presence of Medicaid, diagnosed depression, and prior ED utilization. Conclusion(s): An enhanced model including additional healthcarerelated factors improved the prediction of risk of hospitalization or ED visit.Copyright © 2016, Ascend Media. All rights reserved.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10004, sr3_nk_7849"
"sr3_nk_10019","McDonald M.V.","2016","Journal of Evaluation in Clinical Practice","10.1111/jep.12383","Outcomes of clinical decision support (CDS) and correlates of CDS use for home care patients with high medication regimen complexity: A randomized trial","Rationale, aims and objectives To assess the outcomes of a clinical decision support (CDS) intervention designed for home care patients with high medication regimen complexity (MRC) and to examine correlates of CDS use. Method The CDS consisted of a computerized algorithm that identified high MRC patients, electronic alerts and a care management module. Nurses were randomized upon identification of an eligible patient. Full intention to treat and intervention group-only analyses were completed. Regression-adjusted outcomes were hospitalization, emergency department use and reduction in MRC. Results Five hundred nurses were randomized with 7919 of their patients. Approximately 20% of the intervention group was hospitalized versus 21% in the control group; 16.5% versus 16.7% had an emergency department visit; and 6% in each group dropped below the high MRC threshold. No statistically significant differences were found in the intention to treat analysis. Eighty-two percent of intervention nurses used the CDS but for only 42% of their patients. Among intervention patients, CDS use (vs. non-use) was associated with reduced MRC and hospitalization. CDS use was associated with various clinician and patient characteristics. Conclusion CDS use was limited, negating the impact of the intervention overall. Findings on correlates of CDS use and the relationship between CDS use and positive outcomes suggest that CDS use and outcomes could be enhanced by avoiding short patient lengths of stay, improving continuity of care, increasing reliance on salaried nurses and/or increasing per diem nurses' incentives to use CDS.Copyright © 2015 John Wiley & Sons, Ltd.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10019, sr3_nk_7839"
"sr3_nk_10119","Chung B.","2014","Annals of Internal Medicine","10.7326/m13-3011","12-month outcomes of community engagement versus technical assistance to implement depression collaborative care","Results: At 6 months, the finding that CEP outperformed RS to reduce poor MHRQL was significant but sensitive to underlying statistical assumptions. At 12 months, some analyses suggested that CEP was advantageous to MHRQL, whereas others did not confirm a significant difference favoring CEP. The finding that CEP reduced behavioral health hospitalizations at 6 months was less evident at 12 months and was sensitive to underlying statistical assumptions. Other services use did not significantly differ between interventions at 12 months. Limitation(s): Data are self-reported, and findings are sensitive to modeling assumptions., Conclusion: In contrast to 6-month results, no consistent effects of CEP on reducing the likelihood of poor MHRQL and behavioral health hospitalizations were found at 12 months. Still, given the needs of underresourced communities, the favorable profile of CEP, and the lack of evidence-based alternatives, CEP remains a viable strategy for policymakers and communities to consider., Primary Funding Source: National Institute of Mental Health, Robert Wood Johnson Foundation, California Community Foundation, National Library of Medicine, and National Institutes of Health/ National Center for Advancing Translational Science for the UCLA Clinical and Translational Science Institute., Background: Depression collaborative care implementation using community engagement and planning (CEP) across programs improves 6-month client outcomes in minority communities, compared with technical assistance to individual programs (resources for services [RS]). However, 12-month outcomes are unknown. Objective(s): To compare effects of CEP and RS on mental health- related quality of life (MHRQL) and use of services among depressed clients at 12 months., Design: Matched health and community programs (n = 93) in 2 communities randomly assigned to receive CEP or RS. (ClinicalTrials.gov: NCT01699789)., Measurements: Self-reported MHRQL and services use at baseline, 6 months, and 12 months., Setting: Los Angeles, California., Patients: 1018 adults with depressive symptoms (8-item Patient Health Questionnaire score =10), 88% of whom were an ethnic minority. Intervention(s): CEP and RS to implement depression collaborative care., Measurements: The primary outcome was poor MHRQL (12-item mental health composite score -40) at baseline, 6 months, and 12 months; the secondary outcome was use of services at 12 months.Copyright © 2014 American College of Physicians.","nk_ft_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10119, sr3_nk_1100"
"sr3_nk_102",NA,"2016",NA,NA,"Patient-Centred Innovations for Persons With Multimorbidity - Ontario","A recent systematic review on the prevalence of Multimorbidity (MM) recommended a count of 3+ chronic diseases, with no focus on any single chronic disease in particular. This definition identifies a more vulnerable population with higher needs, lower income or poverty, poorer outcomes and challenging processes of care. It includes people with a wide array of complexity from the uncomplicated course of minimally interacting chronic diseases to the highly complex MM patients. MM is not only important due to the burden on patients, but because it accounts for high utilization. The definition represents a continuum of vulnerability in which there are many opportunities for prevention and management. Despite the high prevalence of MM, most research and health care is still based on a single disease paradigm which may not be appropriate as 45% of primary care patients have MM. A recent Cochrane systematic review on the impact of interventions for patients with MM has identified a paucity of studies internationally with mixed results, thus paving the way for the work of this Team. The most promising intervention, to date, was enhanced teamwork in a multifaceted intervention involving multiple professionals. Patient‐Centred Partnerships between Patients and Providers: The definition of patient‐centred partnerships is derived from Canadian policy reports: ""collaboration between informed, respected patients and a healthcare team."" There is an internationally accepted comprehensive operational definition with four components which will guide many aspects of the proposed research program: first, exploring the patients' diseases and the illness experience; second, understanding the whole person in context; third, finding common ground; and fourth, enhancing the patient‐provider relationship. There is empirical evidence for the impact of patient centred partnerships on better patient outcomes and lower costs. Systematic reviews of interventions indicated promising results for feasible practice‐based interventions targeting both providers and patients. Canadian policy reports defined this second facet of patient‐centredness, as ""seamless coordination and integration of care."" Transitions requiring coordination are a key feature of care for patients with MM. Coordination has been shown to positively impact: symptom relief; social functioning; hospital re‐admission and related costs. Papers reviewed by this Team identified the most promising type of intervention to be structured delivery system re‐design. STUDY #2.1 Qualitative Evaluation of the Aligned Programs Purpose: The study will: assess how the aligned program performs; distinguish between components of the interventions; and identify contextual factors that may have influenced the content and effectiveness of the intervention. It will also examine the local barriers and facilitators as well as the transitions and coordination of care. Methods and design: The Team will conduct a qualitative evaluation of the aligned program to explain how various contexts influence observed effects [1] including the context of the health care systems in each province. A recent example of this research approach in Canada is Best et al, 2012 [2]. Data will be obtained from interviews and written documents. In‐depth interviews will be conducted among the six categories of stakeholders. This will include: a) decision‐makers (n = 10); b) providers (n = 10); c) family physicians and specialists (n = 10); d) a purposive sample of patients with multimorbidity (n = 10); e) family and informal caregivers (n=10); and f) referral providers (n = 10) [51]. Number of interviews are estimates and will be guided by the saturation of data [3]. 2. To measure the mid‐term effects, the study participants will complete the same questionnaire 16 months post‐enrollment (Group C) or intervention (Group A & B) (T3). Data collection: In‐depth interviews, lasting 30 to 60 minutes will ensure complete and detailed participation. The data collection will be held during the second year of the transformed program. The interview guides will examine how the context variables influence the effects and the elements that could potentially inform the development of future interventions. All interviews will be audiotaped and transcribed verbatim. Additionally, written documents will be collected (program team meeting summaries, a sample of 10 medical records or research records at each participating site, a checklist describing the fidelity of the intervention, all documents produced specifically for the intervention) to provide an in‐depth understanding of the various contexts in which the interventions occurred. Data analysis: The data will be analyzed using an iterative and interpretative approach [4]. The data from all participants will be examined through both independent and team analysis occurring in a concurrent manner to build and develop on the emerging themes. A coding template will be developed and edited as new themes emerge while others are reclassified or discarded. The data management software NVivo 9.0 [QSR Int. USA] will be used to organize the coded data and identify exemplar quotes reflecting the central themes. All written documents will undergo a content analysis using NVivo 9.0. The final step of the analysis will be the triangulation of the synthesis of the themes from the stakeholder participants and the content analysis of the documents.[3‐4] STUDY #2.2: Evaluation of effects of the Aligned Programs Setting: The same consenting participating sites as described in study 2.1. The methods presented below are for one setting and will be duplicated in the second setting. Patients are referred to receive the services of these programs by their providers. The intervention the investigators are testing here is the aligned programs. Patients referred to these programs are new patients and have never been exposed to the intervention. In addition to the main reason for referral to the program, the referral form will also include eligibility details for the evaluation, including diagnoses. Patient sample: Patients recruited for the study will be cognitively intact and literate and aged between 18 and 80 years of age. The upper limit of 80 years is to avoid recruiting patients at risk of being institutionalized or dependent during the follow‐up. Patients will present at least three chronic conditions. Methods and Design: Patients agreeing to participate will complete questionnaires at baseline (T1) collecting the socio‐demographic data and baseline measures, which will be used to document equivalence between groups (groups are defined below). Effectiveness of the aligned programs will be assessed using three strategies. 3. To measure mid‐term (T3) and long‐term effects (T4 after 2 years) on health services utilization and cost, study participants in Groups A and B will provide consent to give access to their health administrative (HA) data. A control Group D will be constituted using anonymized HA data. Patients will be matched for gender, age, region and three main diagnoses. The Team will build algorithms for matching every set of controls. Groups A and B together will be compared to this propensity matched control Group D using administrative (HA) data. 1. To measure short‐term effects (4 months), a randomized controlled trial (RCT) design with a before/after arm will be used [5]. Eligible patients will be randomized after consent to receive either the intervention within a short period of time (Group A) or control (Group C); The before/after arm (Group B) will receive the intervention without being placed into the RCT, as their doctors have deemed them too fragile to risk randomization; Control participants (Group C) will receive a list of healthcare resources they may contact to assist with their care; questionnaires will be completed at baseline (T1), and 4 months post enrollment (Group C) or intervention (Group A & B) (T2) for all study participants. This will constitute the short‐term measure of effectiveness of the intervention. Variables and outcome measures: The variables fall into 5 categories: sociodemographic; PC context; main covariables of interest; primary outcomes; secondary outcomes. Sociodemographic characteristics include gender, age, education, family income, marital status, occupation, housing and number of persons living under the same roof. Context variables refer to type of PC organization in which the intervention occurs (solo or group practices, Family Health Team, Community Health Centre). The three main covariables of interest are the Team's three innovations: self‐reported multimorbidity (measured by the Disease Burden Morbidity Assessment [6]; patient‐centred partnership (Patient Perception of Patient‐Centredness Scale [7‐9]); and Patient centered coordination (the Patient Perceptions of Transitions in care, adapted by the investigators from Coleman [10]). The two primary outcome measures are the Health Education Impact Questionnaire (HeiQ) that provides a broad profile of the potential impacts of patient education interventions [11] and the level of perceived disease‐management self‐efficacy using the 6‐item Self‐Efficacy for Managing Chronic Disease (SEM‐CD) [12]. Secondary patient perceived outcomes will be the VR‐12 as a measure of health status and the EQ5D as a measure of Quality of Life [13]. The Kessler psychological distress scale K‐6 will measure psychological distress [14]. The investigators will also use a questionnaire on health behaviors [15]. Finally, HA data will also be used as secondary outcomes to compare health care utilization and cost before and after the intervention. HA data will include emergency department visits, avoidable hospital admissions, readmissions, time to first primary care visit after emergency department visit and continuity of care. Data analysis: The investigators will first describe participants' baseline characteristics in each group and compare among groups. To evaluate short‐term effect, Groups A and C will be compared on T2 scores with an analysis of covariance (ANCOVA) adjusted for T1 scores [16]. To document mid‐term effects, a before/after analysis of variance will be used to study the evolution of continuous variables collected 3 times [17]. Sub‐analyses by gender will be performed. Health system costs in intervention and control groups will be evaluated by using amounts paid to providers based on provincial fee schedules and cost‐weighted utilization of institutions including hospitals and long‐term care. Utilization records obtained from HA data will be multiplied by applicable cost weights (e.g. CIHI Resource Intensity Weights ‐ RIWs) and using CIHI costs per weighted case [18] The methods employed will model the individual patient‐level costs incurred in the health system, using methods developed for costing using administrative data[19]. Incremental resources in the intervention group will be identified and costed using applicable time/resource inputs and relevant wage rates following guidelines for economic evaluation in health interventions [20].","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_102, sr3_nk_101"
"sr3_nk_10503","Jolly K.","1999","British Medical Journal","10.1136/bmj.318.7185.706","Randomised controlled trial of follow up care in general practice of patients with myocardial infarction and angina. Final results of the Southampton heart integrated care project (SHIP)","Objective: To assess the effectiveness of a programme to coordinate and support follow up care in general practice after a hospital diagnosis of myocardial infarction or angina. Design(s): Randomised controlled trial; stratified random allocation of practices to intervention and control groups. Setting(s): All 67 practices in Southampton and south west Hampshire, England. Subjects: 597 adult patients (422 with myocardial infarction and 175 with a new diagnosis of angina) who were recruited during hospital admission or attendance at a chest pain clinic between April 1995 and September 1996. Intervention(s): Programme to coordinate preventive care led by specialist liaison nurses which sought to improve communication between hospital and general practice nurses to provide structures follow up. Main Outcome Measure(s): Serum total cholesterol concentration, blood pressure, distance walked in 6 minutes, confirmed smoking cessation, and body mass index measured at 1 year follow up. Result(s): Of 559 surviving patients at 1 year, 502 (90%) were followed up. There was no significant difference between the intervention and control groups in smoking (cotinine validated quit rate 19% v 20%), lipid concentrations (serum total cholesterol 5.80 v 5.93 mmol/l), blood pressure (diastolic pressure 84 v 85 mmHg), or fitness (distance walked in 6 minutes 443 v 433 m). Body mass index was slightly lower in the intervention group (27.4 v 28.2; P = 0.08). Conclusion(s): Although the programme was effective in promoting follow up in general practice, it did not improve health outcome. Simply coordinating and supporting existing NHS care is insufficient. Ischaemic heart disease is a chronic condition which requires the same systematic approach to secondary prevention applied in other chronic conditions such as diabetes mellitus.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10503, sr3_nk_748"
"sr3_nk_10519","Erbland M.L.","1998","Controlled Clinical Trials","10.1016/s0197-2456(98)00011-7","Systemic corticosteroids in chronic obstructive pulmonary disease exacerbations (SCCOPE): Rationale and design of an equivalence trial","The Systemic Corticosteroids in Chronic Obstructive Pulmonary Disease Exacerbations Trial (SCCOPE) was a randomized, double-blind, placebo- controlled, multicenter trial sponsored by the U.S. Department of Veterans Affairs Cooperative Studies Program. Its principal purpose was to determine whether withholding systemic corticosteroids in patients hospitalized for exacerbations of chronic obstructive pulmonary disease (COPD) who were treated with other usual therapy resulted in a clinically significant increase in the rate of treatment failure. Because placebo was compared to a standard therapy, the study was designed as an equivalence trial. If corticosteroids proved effective, the study would also determine whether a short course was as effective as a long one. SCCOPE was to enroll up to 1100 subjects from more than 20 Veterans Administration Medical Centers over 3 years. Patients were screened shortly after hospital admission for acute exacerbation of COPD. Principal criteria for eligibility were age of 50 years or older, smoking history of 30 pack-years or more, clinical diagnosis of COPD as opposed to asthma, nonuse of systemic corticosteroids in the previous 30 days, and forced expiratory volume in 1 sec (FEV1) of 1500 ml or less. Eligible subjects were randomized to one of three treatment arms: (1) short course (2 weeks) of systemic corticosteroids, (2) long course (8 weeks) of systemic corticosteroids, or (3) placebo. We standardized most other aspects of care. We followed patients for 6 months. The primary endpoint of the study was treatment failure, defined as death, intubation with mechanical ventilation, hospital readmission for COPD, or intensification of pharmacologic therapy. Secondary endpoints included length of hospital stay, changes in FEV1, and changes in dyspnea score. We also evaluated possible adverse effects from systemic corticosteroids.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10519, sr3_nk_1264"
"sr3_nk_10526","Wood D.","1998","Archives of Pediatrics and Adolescent Medicine","10.1001/archpedi.152.3.238","Reducing missed opportunities to vaccinate during child health visits: How effective are parent education and case management?","Backgrounds: At child health visits, immunizations that are due are frequently not given. Increased parent understanding of and demand for immunizations may influence providers to not miss these opportunities. Objective(s): To assess, as part of a larger study of effectiveness of parent education and case management (CM) in raising immunization rates, the intervention's effectiveness at reducing missed opportunities to vaccinate during child health visits. Method(s): A representative sample of African American newborns and their families from south central Los Angeles, Calif, were randomly assigned to a control or a CM group and observed during the first year of life. Case managers visited and telephoned parents, educating them on the benefits and safety of immunizations, and encouraging them to request immunizations from providers. When the children were at least 1 year of age, parents were interviewed and provider records were abstracted. Result(s): Complete records were abstracted for 126 controls and 129 CM group children. For these children, 1092 visits were documented where immunizations were due. Missed opportunities to vaccinate occurred at more than 50% of visits. Case management was associated with a modest reduction in the percentage of visits with missed opportunities in the bivariate analysis but not after adjustment for other covariates. In a logistic regression model, missed opportunities were more frequent at visits with private than public physicians and at acute illness than well-child visits. Missed opportunities were less frequent among children with a history of at least 1 cancelled appointment, and for visits of children with mothers who smoked. Conclusion(s): Missed opportunities were minimally influenced by a home visitation and parent education program. They are primarily determined by issues under the control of the provider. Family- and child-related characteristics, however, do influence the likelihood of a missed opportunity occurring independent of provider factors.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10526, sr3_nk_1421"
"sr3_nk_10532","Garancini M.P.","1997","Diabetes Care","10.2337/diacare.20.11.1659","Factors related to glycemic control in IDDM and insulin-treated NIDDM patients in current practice: A comparison of care policies","OBJECTIVE - To evaluate, under routine conditions, the relation between different diabetes care policies and glycemic control through a by-center analysis procedure aimed at reducing some drawbacks of cross-sectional data. RESEARCH DESIGN AND METHODS - A survey on insulin-treated diabetes care management (IDDM and NIDDM) involved 16 Italian randomly selected diabetes outpatient clinics. A total of 2,142 representative patients were investigated. The standardized HbA(1c) average value of each center was related, by regression models, to some indicators of center care policy (average number of injections, average BMI, proportion of cases with recent fundus oculi examinations, or frequent visits) as well as to patients average social levels (employment type). Homogeneity in patient admission criteria is assumed among the investigated centers as a basic condition for the procedure validity. Some known imbalances were controlled for both design and analysis. RESULTS - HbA(1c) showed a univariate inverse relation with daily number of injections in IDDM (P = 0.0009, r2 = 0.56) but not in NIDDM (P = 0.33). It was inversely related to both fundus examination (IDDM P = 0.04; NIDDM P = 0.099) and qualified employment (IDDM P = 0.06; NIDDM P = 0.026). A stepwise regression analysis left in the model insulin injections (P = 0.0002) in IDDM (total r2 = 0.68) and qualified employment (P = 0.016) and fundus examination (P = 0.14) in NIDDM (total r2 = 0.53), after controlling for age, sex, disease duration, insulin therapy starting delay, and insulin dose per kilogram. CONCLUSIONS - These results suggest that the confirmed benefits of a multiple-injection regimen in IDDM cannot be simply extrapolated to NIDDM, where patients awareness and medical attention to complications proved to be the most important factors in current practice.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10532, sr3_nk_8880"
"sr3_nk_10553","Owens N.J.","1990","Journal of the American Geriatrics Society","10.1111/j.1532-5415.1990.tb01369.x","The senior care study: The optimal use of medications in acutely ill older patients","Geriatric assessment units have improved pharmacotherapy for their patients by decreasing the number of medications prescribed. The Senior Care Study, a randomized controlled trial, compared a multidisciplinary-team approach to patient care to the standard medical practice of the institution. As a part of the trial, the effectiveness of an interdisciplinary team intervention in improving the use of medications was studied. Study goals were to decrease medications used, decrease unnecessary medications, and improve medication choices in our acutely ill inpatient population. A pharmacist interviewed all experimental patients and patient records, and presented medication concerns and recommendations at a team conference. Medications were counted on admission and on the third day, sixth week, and third month after randomization. Medications were paired with patient problems. Medication:problem pairs were judged as inappropriate choices if there were potential side effects that would affect patient function, and if better alternatives were available. The 215 control and 221 experimental patients in the study were similar in age, sex, place of origin, and number of medications on admission. Experimental patients took fewer medications than controls on the third day (5.3 versus 5.9, P < .05). Experimental patients received fewer multiple unpaired medications (11% versus 19%, P < .025) and fewer inappropriate medication choices (20% versus 37%, P < .005). The results suggest that the team intervention was effective in improving pharmacotherapy in the acute-care setting.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_10553, sr3_nk_62"
"sr3_nk_1173","Warshaw, G","1983","The Journal of family practice",NA,"Free visits: a strategy to retain patients and improve continuity in a residency program","All family practice residencies attempt to offer continuity experience to residents and patients as part of their model practices. However, every year one third of the most experienced resident providers leave the practice to be replaced by new, inexperienced residents. This study reports a randomized controlled trial in which a sample of reassigned patients was offered a free visit with their new physician. The free visit was a scheduled appointment with the patient's newly assigned physician during a two‐month period for the purpose of meeting the new physician. The offer of a free visit succeeded in helping patients make the initial office contact with their new physician. However, during six months of follow‐up the free visit offer did not have an impact on visit frequency or primary provider continuity. In this study the reassignment of patients to new physician providers did not affect overall visit frequency, but did have a negative impact on primary provider continuity.","nk_tiab_exclude,nk_tiab_exclude","nk,nk",NA,NA,NA,NA,"sr3_nk_1173, sr3_nk_8930"
