"original_ids","nk_ids"
"sr3_original_23","sr3_nk_92"
"sr3_original_180","sr3_nk_152"
"sr3_original_136","sr3_nk_271"
"sr3_original_84","sr3_nk_674"
"sr3_original_65","sr3_nk_732"
"sr3_original_139","sr3_nk_767"
"sr3_original_51","sr3_nk_815"
"sr3_original_112","sr3_nk_880"
"sr3_original_77","sr3_nk_949"
"sr3_original_62","sr3_nk_1054"
"sr3_original_162","sr3_nk_1076"
"sr3_original_129","sr3_nk_1171"
"sr3_original_70","sr3_nk_1266"
"sr3_original_124","sr3_nk_1452"
"sr3_original_43","sr3_nk_1484"
"sr3_original_56","sr3_nk_1492"
"sr3_original_38","sr3_nk_1533"
"sr3_original_37","sr3_nk_1553"
"sr3_original_93","sr3_nk_1592"
"sr3_original_140","sr3_nk_1707"
"sr3_original_75","sr3_nk_1708"
"sr3_original_73","sr3_nk_1713"
"sr3_original_35","sr3_nk_1738"
"sr3_original_145","sr3_nk_1759"
"sr3_original_71, sr3_original_173","sr3_nk_1771"
"sr3_original_58","sr3_nk_1798"
"sr3_original_95","sr3_nk_1878"
"sr3_original_40","sr3_nk_1934"
"sr3_original_63","sr3_nk_1939"
"sr3_original_144","sr3_nk_2248"
"sr3_original_60","sr3_nk_2274"
"sr3_original_41","sr3_nk_2449"
"sr3_original_116","sr3_nk_2466"
"sr3_original_66","sr3_nk_2468"
"sr3_original_46","sr3_nk_2482"
"sr3_original_79","sr3_nk_2578"
"sr3_original_101","sr3_nk_2613"
"sr3_original_108","sr3_nk_2700"
